,surface_points,surface_disp_step1,surface_disp_step2,surface_disp_step3,surface_disp_step4,surface_disp_step5,surface_disp_step6,surface_disp_step7,surface_disp_step8,surface_disp_step9,surface_disp_step10,surface_disp_step11,surface_disp_step12,surface_disp_step13,surface_disp_step14,surface_disp_step15,surface_disp_step16,surface_disp_step17,surface_disp_step18,surface_disp_step19,surface_disp_step20,surface_disp_step21,surface_disp_step22,surface_disp_step23,surface_disp_step24,surface_disp_step25,surface_disp_step26,surface_disp_step27,surface_disp_step28,surface_disp_step29,surface_disp_step30,surface_disp_step31,surface_disp_step32,surface_disp_step33,surface_disp_step34,surface_disp_step35,surface_disp_step36,surface_disp_step37,surface_disp_step38,surface_disp_step39,surface_disp_step40
0,0.07734375,-50.36698669969088,-84.6920473541306,-117.21166219344667,-148.08462859143182,-177.4087707774898,-205.26505286948725,-231.7276881146786,-256.86656757592556,-280.74794830099063,-303.4347416965994,-324.9867050022923,-345.46060455609836,-364.9103666761797,-383.38722003447066,-400.93983068548005,-417.614430285893,-433.45493788477063,-448.5030756156409,-462.7984785983088,-476.3787993410859,-489.27980691909937,-501.53548119035594,-513.1781022980427,-524.2383356950559,-534.7453129148936,-544.7267083018079,-554.208811902432,-563.2165987109654,-571.7737944503782,-579.902938062954,-587.6254410748134,-594.9616439908186,-601.9308698684274,-608.5514752116302,-614.8408983190409,-620.8157052135015,-626.4916332741888,-631.8836326861554,-637.0059058164876,-641.8719446208022
1,0.0765625,-52.156989323805234,-87.7023564412727,-121.37833239397709,-153.34931348377782,-183.71656864932888,-212.56391525933563,-239.96818498079548,-266.0017372527994,-290.73317097097436,-314.22762249395754,-336.5469634983999,-357.74996974315604,-377.8924770875022,-397.02752875210854,-415.2055150115627,-432.47430586287135,-448.8793770563252,-464.4639298269833,-479.26900464210087,-493.33358926301895,-506.69472140508634,-519.3875862651602,-531.4456091728935,-542.9005436093188,-553.7825548241467,-564.1202992716844,-573.9410000743333,-583.270518712211,-592.133423127539,-600.5530524230257,-608.5515783245314,-616.150063569794,-623.3685173769151,-630.2259481386294,-636.7404134810838,-642.9290678189143,-648.8082075318346,-654.393313881673,-659.6990937828677,-664.7395185337681
2,0.07578125000000001,-53.864715242824644,-90.57349097577844,-125.35144906298888,-158.36841282651594,-189.72899868857465,-219.5197924214774,-247.8201603161495,-274.7048464664617,-300.2447086901735,-324.50702690406587,-347.5557078774687,-369.45145982360515,-390.25195375011225,-410.01197571290555,-428.7835712166849,-446.6161823344915,-463.5567779522015,-479.6499774920564,-494.9381684442945,-509.4616180176654,-523.258579203554,-536.3653915335009,-548.8165767958154,-560.6449299636214,-571.8816055740112,-582.5561997859648,-592.696828333275,-602.3302005778856,-611.4816898587636,-620.1754003216495,-628.4342304057556,-636.279933154663,-643.733173510303,-650.8135827409457,-657.5398101465786,-663.9295721778726,-669.9996990981252,-675.7661793110879,-681.2442014714461,-686.448194488868
3,0.07500000000000001,-55.49120043871242,-93.30882594298026,-129.13754302329588,-163.15226056240158,-195.46072357487682,-226.1521092902766,-255.3081622742641,-283.0058686989355,-309.3182135964298,-334.31449796422623,-358.06054930153203,-380.61890118570864,-402.0489592817188,-422.40715803028473,-441.74710928079986,-460.1197434490471,-477.57344361135813,-494.15417289548105,-509.9055955039142,-524.8691916875073,-539.0843669711776,-552.5885559186345,-565.4173207087846,-577.6044447829626,-589.1820218092512,-600.1805401979041,-610.6289633902129,-620.554806132094,-629.9842069331092,-638.9419969016382,-647.4517651373795,-655.5359208533221,-663.2157523907204,-670.5114832824414,-677.4423255122856,-684.026530110503,-690.2814352187269,-696.2235117508714,-701.8684067702336,-707.2309846970084
4,0.07421875,-57.03034990650564,-95.89651891132227,-132.71840257339744,-167.67580314569926,-200.87948424812424,-232.42111947726127,-262.3847388480483,-290.84947866309625,-317.8903606480844,-343.578618426727,-367.98191429160374,-391.1645240447597,-413.1875078223221,-434.1088712898948,-453.9837185244895,-472.86439718865125,-490.8006364262425,-507.8396778546194,-524.0264000014597,-539.403436515201,-554.0112884610579,-567.8884309987967,-581.0714147235334,-593.594961936696,-605.4920581008829,-616.7940387196359,-627.5306718710548,-637.730236612728,-647.4195974645455,-656.6242751656312,-665.3685138917972,-673.6753451105992,-681.5666482422052,-689.0632082858714,-696.1847705638268,-702.9500927267665,-709.3769941579424,-715.4824029059852,-721.2824002700777,-726.7922631549195
5,0.0734375,-58.48328985213838,-98.34001550907944,-136.10057776549647,-171.94931971347998,-205.9997981595902,-238.34600038686463,-269.07407987711684,-298.26517489001964,-325.99620661716017,-352.3402134311017,-377.3665728051272,-401.1411905947541,-423.7266760149065,-445.1825067892231,-465.56518580698713,-484.9283898997754,-503.3231111721767,-520.7977912666366,-537.3984489165459,-553.1688011227038,-568.1503782714151,-582.3826334966946,-595.903046574032,-608.7472226189041,-620.9489858496239,-632.5404686611969,-643.5521962445551,-654.0131669738514,-663.9509287733842,-673.3916516651631,-682.3601966880824,-690.8801813701331,-698.9740419260222,-706.6630923439471,-713.9675805170966,-720.9067415676685,-727.4988485038114,-733.7612603428695,-739.7104678276552,-745.3621368561212
6,0.07265625,-59.844373500481225,-100.6283129237731,-139.2671030070938,-175.94941639352763,-210.79148100599977,-243.88949306707303,-275.3316282426257,-305.2009271423081,-333.5761128657605,-360.53193356458644,-386.1393898940223,-410.4659289631876,-433.5756235806077,-455.52934139731383,-476.38490532763285,-496.19724588283117,-515.01854586802,-532.8983778353621,-549.883834658905,-566.0196535761348,-581.3483340235433,-595.9102495769531,-609.7437542917015,-622.8852837229764,-635.3694508925284,-647.2291374546543,-658.495580301657,-669.1984538369715,-679.365948132711,-689.0248431775384,-698.2005794104608,-706.9173247263525,-715.1980381297196,-723.0645302043753,-730.5375205583158,-737.6366923951099,-744.380744355547,-750.7874397660917,-756.8736534238727,-762.6554160414288
7,0.07187500000000001,-61.11481033800605,-102.76490618317798,-142.2245071965329,-179.68625414293206,-215.2688155053365,-249.07040915731443,-281.18106633187614,-311.6855771318365,-340.6643246634308,-368.19363436838375,-394.34600595879925,-419.1903112367799,-442.7919769605306,-465.2131574366174,-486.51289823507136,-506.7472916677114,-525.9696244840704,-544.2305181824289,-561.578062306252,-578.0579410764196,-593.7135536919641,-608.5861286154985,-622.7148321438041,-636.1368715491119,-648.8875930624022,-661.0005749565258,-672.5077159740961,-683.4393193328794,-693.8241725297944,-703.6896231535911,-713.0616509057874,-721.9649360194637,-730.4229242560574,-738.4578886512727,-746.0909881726966,-753.3423234435533,-760.23098967934,-766.7751269767214,-772.991968087117,-778.8978838007732
8,0.07109375000000001,-62.28943663367315,-104.73969992990415,-144.95717544885412,-183.13824299402145,-219.4038782074568,-253.8542068558957,-286.58100662376336,-317.67071045469214,-347.20525746811893,-375.2624494962555,-401.9161878142812,-427.2366750044762,-451.2906015175404,-474.1413217205771,-495.8490208676909,-516.4708736539648,-536.0611948213784,-554.6715822256039,-572.3510527438046,-589.1461713825458,-605.1011739264194,-620.2580834507667,-634.6568210056276,-648.3353107626233,-661.3295799018584,-673.6738535020444,-685.4006446838515,-696.540840243993,-707.1237820056334,-717.1773440994375,-726.7280063788398,-735.8009241629263,-744.4199944906451,-752.6079190608656,-760.3862640240823,-767.7755167832461,-774.7951399533482,-781.4636226218785,-787.7985290451809,-793.8165449089656
9,0.0703125,-63.36953769760062,-106.55621704321028,-147.47157525570222,-186.31536307821275,-223.21062903933344,-258.259216057209,-291.5544780434615,-323.18433418478133,-353.2321339133925,-381.77701916837924,-408.89416491576685,-434.6549842866211,-459.1273182046525,-482.37561435733755,-504.4610969598375,-525.4419279764196,-545.3733602709954,-564.3078830992793,-582.295360326757,-599.3831617359516,-615.616287768109,-631.0374880272415,-645.687373858162,-659.6045252946377,-672.8255926590373,-685.3853930808306,-697.3170021879499,-708.6518412123556,-719.4197597390917,-729.6491143166681,-739.3668431357254,-748.5985369725906,-757.3685065845159,-765.6998467340441,-773.6144970110902,-781.1332996128828,-788.276054233918,-795.0615702104575,-801.5077160568907,-807.6314665243965
