,surface_points,surface_disp_step1,surface_disp_step2,surface_disp_step3,surface_disp_step4,surface_disp_step5,surface_disp_step6,surface_disp_step7,surface_disp_step8,surface_disp_step9,surface_disp_step10,surface_disp_step11,surface_disp_step12,surface_disp_step13,surface_disp_step14,surface_disp_step15,surface_disp_step16,surface_disp_step17,surface_disp_step18,surface_disp_step19,surface_disp_step20
0,0.07734375,-83.00937058887992,-145.1305421194135,-201.27264811375736,-252.05800869111735,-298.00369947927703,-339.57168349589705,-377.17916378117746,-411.2034976589387,-441.9860762397668,-469.83576204209584,-495.0319897802283,-517.8275704645717,-538.451228132622,-557.1098948344179,-573.9907869340888,-589.26328357293,-603.0806261487713,-615.5814558680247,-626.891204800593,-637.1233543969455
1,0.0765625,-85.96006212280112,-150.29048980938433,-208.42988789355059,-261.02253939271145,-308.6037923065393,-351.65195241618903,-390.5989935862061,-425.83564092532407,-457.71538461871694,-486.55803737288596,-512.6529437669659,-536.2618828221417,-557.6216940000061,-576.9466530727349,-594.4306216874965,-610.2489921720348,-624.5604470790679,-637.5085511127137,-649.2231914014053,-659.821880562229
2,0.07578125000000001,-88.77396672103755,-155.20918733354583,-215.25014242971778,-269.5623634971344,-318.6988308048549,-363.1535858455625,-403.3728024920351,-439.7600422985145,-472.6804032754656,-502.46419614469363,-529.410260398837,-553.788963087679,-575.8449116796794,-595.7994083981605,-613.8526706928865,-630.1858401385092,-644.9627999229247,-658.3318191656465,-670.4270405673725,-681.3698263190541
3,0.07500000000000001,-91.45514180056674,-159.89788343018853,-221.75379518035754,-277.7083575439417,-328.3311483776405,-374.13105464716546,-415.56766819900486,-453.05669431372075,-486.97422239862124,-517.6605110234755,-545.4234025546976,-570.5414113612951,-593.2665177465608,-613.8266957459948,-632.4282001413652,-649.2576356183142,-664.4838288136608,-678.2595220249528,-690.7229055683405,-701.9990041539029
4,0.07421875,-93.99124183319253,-164.33091630845846,-227.90054806245942,-285.40477672760437,-337.4290779064735,-384.4965256362648,-427.07951381170096,-465.60532012599316,-500.460498538631,-531.9947714991878,-560.5245408336714,-586.3360627283851,-609.6883199963141,-630.8156206322334,-649.9299487643717,-667.2230916026971,-682.8685637308372,-697.0233480530059,-709.8294708663725,-721.4154268641443
5,0.0734375,-96.38637012257438,-168.51945344167746,-233.7105166029365,-292.68201135885903,-346.0342337857543,-394.30351457609055,-437.9742300213823,-477.48450261244693,-513.2307022622444,-545.5714355964111,-574.8311448179544,-601.303362509912,-625.2536562748519,-646.9222928758245,-666.5266485998641,-684.2633900105719,-700.310446956525,-714.828797621668,-727.9640835206485,-739.8480706376639
6,0.07265625,-98.62902968974699,-172.43949055273555,-239.14587105636758,-299.48757463957867,-354.078962586146,-403.4689165519543,-448.15313798785644,-488.5799864166755,-525.1550885129897,-558.2454222987643,-588.1830012107675,-615.2682057071468,-639.7727972301808,-661.9426449593524,-682.0001927486932,-700.1466910115585,-716.5642159522109,-731.4174964077808,-744.8555666325885,-757.0132616096229
7,0.07187500000000001,-100.72334442681498,-176.10204499879256,-244.22633499955947,-305.8511832852993,-361.60390312644074,-412.04496228467684,-457.6805351552599,-498.9684602681085,-536.3229442892715,-570.1187309709654,-600.6948620585774,-628.3580786230854,-653.3858982536792,-676.0293991164214,-696.5157388064944,-715.0504332506887,-731.8194185126633,-746.9909161787461,-760.7171210337432,-773.1357279548972
8,0.07109375000000001,-102.65873678674416,-179.48491801083563,-248.91678025764423,-311.72393210386525,-368.5458327722842,-419.95378749906075,-466.46374912650214,-508.5423947211706,-546.6119228491434,-581.0543045630404,-612.2151179369939,-640.4070157554697,-665.9128625903004,-688.9885729403735,-709.8656789451633,-728.7536534456825,-745.8420117064894,-761.3022128895894,-775.289380360746,-787.9438580902569
9,0.0703125,-104.43932582492869,-182.5989089042057,-253.23641685492817,-317.1346810021958,-374.9441642150449,-427.2460158537711,-474.5650876834878,-517.3761115460981,-556.1085771386386,-591.1510549198487,-622.85509587223,-651.5387583938751,-677.4897990722889,-700.9685594961023,-722.2105780665005,-741.4289529994215,-758.8164802159467,-774.5475875627841,-788.7800847634662,-801.6567466536095
