,surface_points,surface_disp_step1,surface_disp_step2,surface_disp_step3,surface_disp_step4,surface_disp_step5,surface_disp_step6,surface_disp_step7,surface_disp_step8,surface_disp_step9,surface_disp_step10
0,0.07734375,-139.6972589373757,-243.17915430721894,-328.62387901095747,-399.2007624110519,-457.4985936147677,-505.65378619972176,-545.4309301487256,-578.2876080825846,-605.4278169383629,-627.8460869695534
1,0.0765625,-144.66452116480787,-251.82857174031108,-340.31540464934244,-413.4065245168275,-473.7824459220568,-523.6553328877244,-564.8523742679483,-598.8828814405612,-626.9935950730943,-650.2143633809604
2,0.07578125000000001,-149.39860178177236,-260.06692749543737,-351.4455163319768,-426.92377638533384,-489.2702666528306,-540.7697590005771,-583.3093825232172,-618.4479401243041,-647.4730395828669,-671.4482760995955
3,0.07500000000000001,-153.91224490176077,-267.9266344252331,-362.06979440860925,-439.8330331981901,-504.068237000847,-557.1289946140106,-600.9593055910251,-637.164968809414,-667.072425715291,-691.7773591939654
4,0.07421875,-158.1788525805757,-275.3513016297414,-372.1003752357627,-452.01466339361576,-518.0254259022338,-572.5517065369536,-617.5915387253599,-654.795335115329,-685.5263757977692,-710.9107635026598
5,0.0734375,-162.2110484829057,-282.37284035083377,-381.59190354587713,-463.54782505622643,-531.2462798878599,-587.1677709543578,-633.36112310407,-671.5187224299509,-703.0385332041249,-729.0753177326332
6,0.07265625,-165.98387816902334,-288.938043463952,-390.4611116538654,-474.3187297814755,-543.5867862541875,-600.8036825462146,-648.0660378770175,-687.105699295777,-719.3532141301952,-745.9902498419071
7,0.07187500000000001,-169.50976702572774,-295.0781238567929,-398.7613717719183,-484.4046905210641,-555.1490129215995,-613.5864628768205,-661.858058842974,-701.7323400051514,-734.6701745468696,-761.8782847014435
8,0.07109375000000001,-172.7655579701766,-300.7433862198097,-406.41452554630865,-493.6984635710428,-565.7967534331214,-625.3515042152599,-674.5449945734467,-715.1798285449244,-748.745000894177,-776.4704584417942
9,0.0703125,-175.76340150462937,-305.9641526486758,-413.47234361151607,-502.27504009010534,-575.629067815934,-636.2221903749329,-686.2744197397919,-727.6195445552418,-761.7723301780007,-789.9840189249414
10,0.06953125,-178.4820806742425,-310.6945460369656,-419.86225881742286,-510.0343822680159,-584.5183956177584,-646.0438260754634,-696.8651572592913,-738.8446365408697,-773.5205259735245,-802.1634687057657
11,0.06875,-180.93339618486516,-314.9638107425492,-425.63412103764546,-517.0486971250552,-592.5601782345852,-654.9353966771321,-706.4596708289731,-749.0207328772892,-784.1779063197619,-813.2192392319562
12,0.06796875,-183.0982020192593,-318.7301707097879,-430.7214017263615,-523.225769511167,-599.6362876715642,-662.7530730980976,-714.888914729031,-757.9542218956312,-793.5270400428525,-822.910874709664
13,0.0671875,-184.98787633156184,-322.0216122575076,-435.1717226552048,-528.6345771278347,-605.8379582654404,-669.6107086610806,-722.2893633459552,-765.8039595525443,-801.748765171442,-831.4406927922633
14,0.06640625,-186.5854620836774,-324.80071794409497,-438.9250040532158,-533.1912960222068,-611.0572227771274,-675.376227236865,-728.5051445459096,-772.390767685838,-808.6411963181182,-838.584761827114
15,0.065625,-187.90184472794868,-327.09404350440695,-442.02634598603606,-536.961249306559,-615.3805459941601,-680.1576481670791,-733.6659019949363,-777.8657504335961,-814.3765765746448,-844.5360383177351
16,0.06484375,-188.92236075122804,-328.8687608018721,-444.4224878694018,-539.8695210278757,-618.7107870872584,-683.8354625685206,-737.6298981488596,-782.0652678334297,-818.7698110307908,-849.0884953659975
17,0.06406250000000001,-189.65733579162304,-330.1498312624254,-446.1557300060321,-541.9773769704742,-621.1291082105259,-686.5111898265001,-740.5191466568874,-785.1317405975202,-821.9834859054181,-852.4245386844739
18,0.06328125000000001,-190.09449026635534,-330.9092184509039,-447.17995936756904,-543.2192710629488,-622.5497938500292,-688.0786251158768,-742.2069184236549,-786.9180758581364,-823.8504379372328,-854.3573163539759
